item,type,link,description,
Forest carbon markets page,page,https://reddacademy.in.howspace.com/learning-journal-forest-carbon-markets,"In a nutshell, carbon markets are trading systems in which carbon credits are sold and bought. Companies or individuals can use carbon markets to compensate for their greenhouse gas emissions by purchasing carbon credits from entities that remove or reduce greenhouse gas emissions. 

The Learning Journal looks at forest-based carbon market approaches, covering high-integrity market initiatives, voluntary and compliance market dynamics, their role in NDCs and corporate claims, and steps for governments to establish robust frameworks, including MRV systems and carbon trading contracts under Article 6 of the Paris Agreement.

By the end of this learning journal, you will be able to  understand the status quo of high-integrity forest carbon markets.  First, users will understand the difference between market and non-market approaches.  Second, high-integrity carbon markets initiatives are presented and explained. Third, the differences (and intersections) between voluntary and compliance markets (including crediting mechanism, emission trade and Article 6 of the Paris Agreement) are presented. Fourth, the role of forest carbon markets in the context of National Determined Contributions (NDCs) and corporate claims will be explained. 

After completing this module, users will be able to understand the main building blocks that national and/or subnational governments need to address to enable forest carbon markets with high integrity. The first one is assessing risks and opportunities related to forest carbon markets. Based on this assessment, guidance is given to define and implement an appropriate policy, regulatory, and governance framework (that includes FREL/FRL revision, establishing a monitoring, reporting, and verification (MRV) system, a registry system, a nesting system, and a safeguards system). The role of national authorities will be explained, including regarding Article 6 of the Paris Agreement. Finally, the users will be able to understand the critical elements of carbon trading contracts.",
Learning Journal: Forest carbon markets ,PDF,,None,
Understanding REDD+ and the UNFCCC page,page,https://reddacademy.in.howspace.com/leanring-journal-redd-plus-safeguards-under-the-unfccc,"This journal presents the basics of REDD+ under the UNFCCC. 

Objective: Focuses on the relationship between REDD+ and the UNFCCC (United Nations Framework Convention on Climate Change), including key agreements.

Countries interested in REDD+ are required to progress through three phases, which are closely linked with one another (UNFCCC Decision 1/CP.16, paragraph 73):
1. Readiness phase, involving the development of national strategies or action plans, REDD+ mitigation actions, and capacity building;
2. Implementation of national strategies and results-based demonstration activities, enacting REDD+ actions and national strategies or plans that could involve further capacity building, technology development and transfer, and results-based demonstration activities;
3. Results-based actions that must be fully measured, reported and verified.

By the end of this learning journal, you will be able to understand the foundational role of REDD+ within the context of international climate agreements, particularly under the UNFCCC.

The module includes sections about:
1. What REDD+ is and how it has been negotiated at the global level
2. REDD+ implementation at the national level and related challenges
3. International initiatives to support REDD+ implementation at the national level
",
Learning Journal:Understanding REDD+ and the UNFCCC,PDF,https://reddacademy.in.howspace.com/leanring-journal-redd-plus-safeguards-under-the-unfccc#widget-673731c4cea521e50102e02d,None,
National Strategies and Action Plans page,page,https://reddacademy.in.howspace.com/learning-journal-national-strategies-and-action-plans ,"NS/APs describe how emissions will be reduced and/or how forest carbon stocks will be enhanced, conserved and/or sustainably managed through the implementation of REDD+. NS/APs are integrative products of the readiness phase (phase 1). They draw on the analytical work, stakeholder dialogue and strategic decisions made to guide the implementation of REDD+ (phases 2 and 3). They are expected to be revised cyclically to integrate lessons learned and changes in context over time (i.e. changing threats and new opportunities).

However, beyond simply guiding REDD+ implementation or addressing a UNFCCC requirement, NS/AP documents and design processes are also opportunities and tools to achieve multiple objectives, as various countries have done (e.g. Brazil, Ecuador, Mexico, or Democratic Republic of Congo (DRC)). This includes especially contributing to the development objectives of the country as well as, to the extent possible, objectives of sectors key to REDD+ (i.e. drivers) through different pathways. 

This journal focuses on the formulation and implementation of national strategies for REDD+, including aligning with international climate commitments. By the end of this learning journal, you will be able to understand the steps involved in creating national REDD+ strategies and their alignment with international climate agreements 
Explore the financial tools available for REDD+ programs, including carbon markets, donor funding, and national finance systems.
Assess your actual knowledge about REDD+ finance.   Explain the various REDD+ financing options and modalities.   
Identify key considerations and main challenges related to REDD+ financing..",
Learning Journal: National Strategies and Action Plans,PDF,https://reddacademy.in.howspace.com/learning-journal-national-strategies-and-action-plans#widget-673733496a69bfa84408b770,None,
National Forest Monitoring Systems for REDD+ (FAO) page,page,https://reddacademy.in.howspace.com/learning-journal-national-forest-monitoring-systems-for-redd-plus ,"FAO has supported more than 50 countries in their development of robust National Forest Monitoring Systems (NFMS) and assessments, with the goal of developing reliable forest resource information for application in creating national forest policies, planning and sustainable development. Forest monitoring systems include measurement, reporting and verification (MRV) functions and aim to produce high-quality, reliable data on forests, including forest-carbon estimates, that are critical to the battle against climate change caused by among others deforestation and degradation of forests. 

NFMS components include: 
1. Satellite land monitoring systems (SLMS) and other data collection providing information for activity data (AD)
2. National Forest Inventories (NFI) or other data collection providing information on emission factors (EF)

This journal provides an overview of forest monitoring systems that track deforestation and forest carbon stocks, which are essential for REDD+ reporting. By the end of this learning journal, you will be able to learn about the technical and scientific methods used for monitoring forests, deforestation, and carbon emissions in REDD+ programs. We include here content for two of the courses related to NFMS, the Forests and transparency under the Paris Agreement and Institutionalization of forest data.

In line with that, FAO has been developing am E-learning series. The full set of courses related to Forest monitoring for climate action can be found at https://elearning.fao.org/course/view.php?id=1000.",
Learning Journal: National Forest Monitoring Systems for REDD+ (FAO),PDF,https://reddacademy.in.howspace.com/learning-journal-national-forest-monitoring-systems-for-redd-plus#widget-673735cc9464ca93560b9454,None,
Forest Reference Emission Levels (FAO) page,page,https://reddacademy.in.howspace.com/learning-journal-forest-reference-emission-levels ,"To participate in REDD+, countries must develop a Forest Reference Emission Level and/or Forest Reference Level. These are benchmarks for assessing their performance in implementing REDD+ activities.

Countries that implement REDD+ and reduce carbon can report REDD+ results to the UNFCCC. These REDD+ results compare greenhouse gas (GHG) emissions during REDD+ implementation against the reference level. Countries also develop national GHG inventories and regularly report on emissions to the UNFCCC. FAO aims to support countries in developing these inventory systems that can generate consistent estimates for forest reference levels and REDD+ results reporting.

FAO�s REDD+ and National Forest Monitoring team supports capacity development for FREL/FRLs, REDD+ results reporting and national GHG inventory systems in the land-use sector. Technical capacities to work with data and carry out calculations are required as are functional capacities including system-related aspects such as inventory planning and management, data sharing, quality checking and continuous improvement. 

This module covers Forest Reference Emission Levels (FRELs), which are used to benchmark forest carbon emissions for REDD+ programs. By the end of this learning journal, you will be able to understand the concept of FRELs and how they are used to monitor and verify emission reductions within REDD+ projects.

In line with that, FAO has been developing am E-learning series. The full set of courses related to Forest monitoring for climate action can be found at https://elearning.fao.org/course/view.php?id=1000. We include here content for the courses related to Monitoring Reporting and Verification, of which FRELs are a component in REDD+:  Measurement, reporting and verification for environmental integrity: Introduction.",
Learning Journal: Forest Reference Emission Levels (FAO),PDF,https://reddacademy.in.howspace.com/learning-journal-forest-reference-emission-levels#widget-6737365ec03082ab190ed77d,None,
